"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2019","92.80","89.88","93.33","89.88","21.00K","2.29%"
"09/20/2019","90.72","93.28","93.28","90.67","25.50K","-3.08%"
"09/19/2019","93.60","95.11","95.11","92.27","150.75K","3.33%"
"09/18/2019","90.59","90.59","90.59","90.59","21.00K","4.09%"
"09/17/2019","87.03","83.20","87.03","82.41","67.13K","5.28%"
"09/16/2019","82.67","82.67","83.72","82.67","14.06K","0.00%"
"09/13/2019","82.67","81.61","82.67","81.39","6.56K","1.97%"
"09/12/2019","81.07","82.61","82.93","80.00","47.06K","-1.30%"
"09/11/2019","82.13","82.67","83.71","82.13","9.75K","-0.69%"
"09/06/2019","82.70","82.30","83.07","82.30","4.50K","0.49%"
"09/05/2019","82.30","84.63","84.63","82.13","9.75K","-0.90%"
"09/04/2019","83.05","82.67","84.21","82.40","13.69K","-0.81%"
"09/03/2019","83.73","83.73","85.49","83.73","7.88K","-0.64%"
"09/02/2019","84.27","85.87","85.87","83.57","14.63K","1.96%"
"08/30/2019","82.65","86.13","86.13","81.87","104.44K","0.76%"
"08/29/2019","82.03","79.99","82.03","79.99","3.56K","3.38%"
"08/28/2019","79.35","80.53","81.48","78.67","19.69K","2.26%"
"08/26/2019","77.60","80.00","80.00","77.60","4.31K","-1.87%"
"08/23/2019","79.08","78.99","79.47","78.99","3.00K","-3.09%"
"08/22/2019","81.60","83.60","83.60","81.60","0.75K","0.00%"
"08/21/2019","81.60","81.60","81.60","81.60","0.75K","-0.65%"
"08/19/2019","82.13","82.13","82.13","81.60","2.25K","3.35%"
"08/09/2019","79.47","81.02","81.05","79.47","4.50K","-0.66%"
"08/08/2019","80.00","80.00","80.00","80.00","2.25K","2.04%"
"08/06/2019","78.40","77.33","78.40","77.33","1.31K","0.20%"
"08/02/2019","78.24","77.33","79.44","77.33","4.31K","3.25%"
"08/01/2019","75.78","74.67","75.78","74.67","2.44K","1.88%"
"07/31/2019","74.38","73.07","76.75","72.53","6.75K","-0.39%"
"07/30/2019","74.67","74.67","74.67","74.67","0.94K","2.50%"
"07/29/2019","72.85","72.27","76.27","72.00","2.06K","-0.67%"
"07/26/2019","73.34","74.67","77.33","70.93","8.44K","-1.78%"
"07/25/2019","74.67","77.87","78.93","74.67","4.50K","-4.76%"
"07/24/2019","78.40","78.13","78.93","77.78","9.19K","-4.24%"
"07/23/2019","81.87","82.13","82.13","81.87","9.38K","-5.00%"
"07/22/2019","86.18","86.40","86.40","86.18","3.75K","-4.99%"
"07/19/2019","90.71","94.88","94.88","94.88","0.19K","0.00%"
"07/18/2019","90.71","88.62","92.79","88.62","1.88K","-2.77%"
"07/11/2019","93.29","92.03","97.07","92.03","0.94K","-3.70%"
