"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2025","475.89","467.25","478.00","463.10","1.59M","1.88%"
"09/29/2025","467.10","473.98","473.98","466.00","847.61K","-0.74%"
"09/26/2025","470.56","465.00","474.00","460.75","2.14M","1.28%"
"09/25/2025","464.62","475.05","477.60","460.00","1.19M","-2.15%"
"09/24/2025","474.83","476.70","481.00","473.00","578.67K","-0.30%"
"09/23/2025","476.24","485.00","486.00","475.05","879.95K","-1.28%"
"09/22/2025","482.40","489.47","491.98","481.01","874.26K","-1.15%"
"09/19/2025","487.99","485.99","494.50","480.55","1.36M","0.73%"
"09/18/2025","484.45","481.00","486.00","480.56","1.32M","0.81%"
"09/17/2025","480.56","478.80","487.50","477.00","2.24M","0.64%"
"09/16/2025","477.52","479.90","481.00","475.00","1.59M","0.20%"
"09/15/2025","476.59","474.17","479.05","470.00","2.18M","0.51%"
"09/12/2025","474.17","481.00","483.00","471.50","1.67M","-1.35%"
"09/11/2025","480.64","483.50","486.99","478.00","1.92M","-0.53%"
"09/10/2025","483.21","475.60","486.00","474.00","1.84M","0.46%"
"09/09/2025","481.01","477.90","485.97","472.50","3.64M","0.51%"
"09/08/2025","478.57","469.00","481.00","469.00","3.07M","2.66%"
"09/05/2025","466.18","454.90","482.00","454.10","6.16M","2.93%"
"09/04/2025","452.91","443.17","456.00","443.10","2.99M","2.20%"
"09/03/2025","443.17","441.26","450.00","441.26","2.16M","0.56%"
"09/02/2025","440.72","448.00","448.00","438.00","2.09M","-1.08%"
"09/01/2025","445.55","429.20","449.20","428.01","4.09M","4.24%"
"08/29/2025","427.42","420.00","435.00","419.25","2.96M","2.19%"
"08/28/2025","418.26","415.00","423.50","414.63","1.56M","0.88%"
"08/27/2025","414.63","418.00","419.50","413.80","787.92K","-0.19%"
"08/26/2025","415.44","413.70","422.98","411.00","907.34K","0.45%"
"08/25/2025","413.58","418.01","420.00","411.00","696.36K","-0.84%"
"08/22/2025","417.08","419.91","424.50","415.50","1.25M","-0.67%"
"08/21/2025","419.91","425.00","428.95","409.00","3.10M","-1.11%"
"08/20/2025","424.62","430.00","432.45","423.01","2.58M","-0.32%"
"08/19/2025","425.98","412.00","430.00","412.00","3.91M","3.64%"
"08/18/2025","411.02","395.00","413.50","394.60","3.73M","4.23%"
"08/15/2025","394.34","387.45","399.75","383.00","3.30M","2.31%"
"08/13/2025","385.42","380.11","387.00","379.01","1.86M","1.86%"
"08/12/2025","378.40","378.97","381.25","376.51","1.14M","0.67%"
"08/11/2025","375.88","374.00","382.40","372.00","1.88M","0.31%"
"08/08/2025","374.73","380.00","386.90","370.20","1.64M","-1.98%"
"08/07/2025","382.29","381.01","384.40","376.20","2.16M","0.38%"
"08/06/2025","380.83","377.50","382.51","375.16","3.13M","1.57%"
"08/05/2025","374.94","372.11","377.85","371.99","3.16M","0.76%"
"08/04/2025","372.11","364.97","374.00","363.51","2.88M","3.39%"
"08/01/2025","359.91","358.00","362.10","355.00","1.17M","0.83%"
"07/31/2025","356.95","358.00","362.35","352.50","855.95K","0.15%"
"07/30/2025","356.43","363.99","364.99","351.00","1.93M","-1.51%"
"07/29/2025","361.88","370.00","374.89","357.81","4.32M","-2.01%"
"07/28/2025","369.30","361.89","373.24","361.74","3.33M","3.00%"
"07/25/2025","358.54","353.20","360.00","352.01","931.29K","1.43%"
"07/24/2025","353.49","357.02","359.45","353.00","688.86K","-0.92%"
"07/23/2025","356.77","358.00","360.00","355.50","771.60K","-0.09%"
"07/22/2025","357.08","358.00","361.00","355.61","1.12M","-0.18%"
"07/21/2025","357.73","358.50","365.00","356.00","987.51K","-0.27%"
"07/18/2025","358.71","358.51","374.85","354.72","5.23M","0.11%"
"07/17/2025","358.30","350.95","359.10","349.00","2.04M","2.48%"
"07/16/2025","349.62","350.00","351.10","345.00","867.66K","-0.07%"
"07/15/2025","349.87","354.00","356.00","349.00","1.18M","-0.94%"
"07/14/2025","353.19","353.00","355.80","350.75","1.08M","0.34%"
"07/11/2025","351.98","354.44","359.90","351.50","1.64M","-0.40%"
"07/10/2025","353.38","354.00","354.25","350.00","1.39M","0.27%"
"07/09/2025","352.42","356.49","357.00","350.25","1.01M","-0.74%"
"07/08/2025","355.03","358.00","359.63","352.07","1.74M","-0.44%"
"07/07/2025","356.59","354.99","358.00","352.00","1.53M","0.99%"
"07/04/2025","353.08","352.99","354.50","350.00","962.54K","0.98%"
"07/03/2025","349.66","349.97","355.50","348.07","1.50M","0.25%"
"07/02/2025","348.80","350.00","353.90","348.00","989.11K","-0.27%"
"07/01/2025","349.76","357.00","357.00","347.98","2.14M","-1.54%"
"06/30/2025","355.24","357.10","359.00","353.01","1.63M","-0.18%"
"06/27/2025","355.89","342.60","365.00","341.28","6.41M","4.28%"
"06/26/2025","341.28","347.75","351.00","340.39","1.51M","-1.86%"
"06/25/2025","347.74","348.00","349.50","345.00","1.64M","0.38%"
"06/24/2025","346.42","335.50","347.95","331.11","4.68M","9.40%"
"06/23/2025","316.66","320.20","326.89","315.00","1.70M","-4.02%"
"06/20/2025","329.93","327.88","332.90","326.00","761.31K","0.45%"
"06/19/2025","328.45","331.50","337.01","325.00","2.99M","-0.93%"
"06/18/2025","331.53","336.00","336.50","328.70","2.06M","-1.10%"
"06/17/2025","335.23","341.01","344.00","334.00","1.63M","-1.65%"
"06/16/2025","340.85","345.72","351.99","339.96","2.37M","-1.41%"
"06/13/2025","345.72","348.00","351.00","341.50","3.40M","-2.89%"
"06/12/2025","356.00","355.00","374.00","352.01","9.60M","1.10%"
"06/11/2025","352.13","345.00","354.00","340.11","5.57M","4.96%"
"06/10/2025","335.48","343.00","343.01","334.85","1.14M","-1.92%"
